chapter	I10CODE	I10NAME	FinalI11Code	FinalI11Name	FinalPostcoor	FinalPostcoDesc	FinalMaptype
12	L97.929	Non-pressure chronic ulcer of unspecified part of left lower leg with unspecified severity	ME60.2	Ulcer of skin of uncertain nature	NULL	NULL	3. only partial map possible
12	L98.499	Non-pressure chronic ulcer of skin of other sites with unspecified severity	ME60.2	Ulcer of skin of uncertain nature	NULL	NULL	3. only partial map possible
12	L98.8	Other specified disorders of the skin and subcutaneous tissue	EM0Y	Other specified diseases of the skin	NULL	NULL	3. only partial map possible
12	L98.9	Disorder of the skin and subcutaneous tissue, unspecified	EM0Z	Skin disease of unspecified nature	NULL	NULL	3. only partial map possible
13	M06.9	Rheumatoid arthritis, unspecified	FA20.Z	Rheumatoid arthritis, serology unspecified	NULL	NULL	1. full map by precoordination
13	M10.9	Gout, unspecified	FA25.2Z	Gout, unspecified	NULL	NULL	1. full map by precoordination
13	M15.0	Primary generalized (osteo)arthritis	FA05	Polyosteoarthritis	NULL	NULL	3. only partial map possible
13	M16.11	Unilateral primary osteoarthritis, right hip	FA00.0	Primary osteoarthritis of hip	FA00.0&XK9K	Primary osteoarthritis of hip & Right	2. full map by postcoordination
13	M16.12	Unilateral primary osteoarthritis, left hip	FA00.0	Primary osteoarthritis of hip	FA00.0&XK8G	Primary osteoarthritis of hip & Left	2. full map by postcoordination
13	M17.0	Bilateral primary osteoarthritis of knee	FA01.0	Primary osteoarthritis of knee	FA01.0&XK9J	Primary osteoarthritis of knee & Bilateral	2. full map by postcoordination
13	M17.11	Unilateral primary osteoarthritis, right knee	FA01.0	Primary osteoarthritis of knee	FA01.0&XK9K	Primary osteoarthritis of knee & Right	2. full map by postcoordination
13	M17.12	Unilateral primary osteoarthritis, left knee	FA01.0	Primary osteoarthritis of knee	FA01.0&XK8G	Primary osteoarthritis of knee & Left	2. full map by postcoordination
13	M19.011	Primary osteoarthritis, right shoulder	FA03.0	Primary osteoarthritis of other specified joint	FA03.0&XA05J7	Primary osteoarthritis of other specified joint & Shoulder joint	3. only partial map possible
13	M19.90	Unspecified osteoarthritis, unspecified site	FA0Z	Osteoarthritis, unspecified	NULL	NULL	1. full map by precoordination
13	M25.50	Pain in unspecified joint	ME82	Pain in joint	NULL	NULL	1. full map by precoordination
13	M25.511	Pain in right shoulder	ME82	Pain in joint	ME82&XA05J7	Other specified shoulder lesions & Shoulder joint	3. only partial map possible
13	M25.512	Pain in left shoulder	ME82	Pain in joint	ME82&XA05J7	Other specified shoulder lesions & Shoulder joint	3. only partial map possible
13	M25.551	Pain in right hip	ME82	Pain in joint	ME82&XA4XS4	Other specified shoulder lesions & Hip joint	3. only partial map possible
13	M25.552	Pain in left hip	ME82	Pain in joint	ME82&XA4XS4	Pain in joint & Hip joint	3. only partial map possible
13	M25.561	Pain in right knee	FB56.4	Pain in limb	FB56.4&XK9K&XA8KL5	Pain in limb & Right & Knee	2. full map by postcoordination
13	M25.562	Pain in left knee	FB56.4	Pain in limb	FB56.4&XK8G&XA8KL5	Pain in limb	2. full map by postcoordination
13	M43.16	Spondylolisthesis, lumbar region	FA84.Z	Spondylolisthesis, unspecified	FA84.Z&XA0D60	Spondylolisthesis, unspecified & Lumbar vertebra	2. full map by postcoordination
13	M47.812	Spondylosis without myelopathy or radiculopathy, cervical region	FA8Z	Degenerative condition of spine, unspecified	FA8Z&XA9ZW8	Degenerative condition of spine, unspecified & Cervical	2. full map by postcoordination
13	M47.816	Spondylosis without myelopathy or radiculopathy, lumbar region	FA8Z	Degenerative condition of spine, unspecified	FA8Z&XA0D60	Degenerative condition of spine, unspecified & Lumbar	2. full map by postcoordination
13	M48.02	Spinal stenosis, cervical region	ME93.41	Intervertebral disc stenosis of neural canal, cervical region	NULL	NULL	1. full map by precoordination
13	M51.16	Intervertebral disc disorders with radiculopathy, lumbar region	8B93.6	Radiculopathy due to intervertebral disc disorders	NULL	NULL	3. only partial map possible
13	M51.26	Other intervertebral disc displacement, lumbar region	FB1Y	Other specified conditions associated with the spine	FB1Y&XA54S5	Other specified conditions associated with the spine & Lumbar discs or space	3. only partial map possible
13	M51.36	Other intervertebral disc degeneration, lumbar region	FA80.8	Intervertebral disc degeneration of lumbar spine without prolapsed disc	NULL	NULL	1. full map by precoordination
13	M54.12	Radiculopathy, cervical region	8B93.Y	Other specified radiculopathy	NULL	NULL	3. only partial map possible
13	M54.16	Radiculopathy, lumbar region	8B93.Y	Other specified radiculopathy	NULL	NULL	3. only partial map possible
13	M54.2	Cervicalgia	ME84.0	Cervical spine pain	NULL	NULL	1. full map by precoordination
13	M54.41	Lumbago with sciatica, right side	ME84.20	Lumbago with sciatica	NULL	NULL	3. only partial map possible
13	M54.42	Lumbago with sciatica, left side	ME84.20	Lumbago with sciatica	NULL	NULL	3. only partial map possible
13	M54.5	Low back pain	ME84.2Z	Low back pain, unspecified	NULL	NULL	1. full map by precoordination
13	M54.6	Pain in thoracic spine	ME84.1	Thoracic spine pain	NULL	NULL	1. full map by precoordination
13	M54.9	Dorsalgia, unspecified	ME84.Z	Spinal pain, unspecified	NULL	NULL	3. only partial map possible
13	M62.81	Muscle weakness (generalized)	FB32.Y	Other specified disorders of muscles	NULL	NULL	3. only partial map possible
13	M62.82	Rhabdomyolysis	FB32.20	Idiopathic rhabdomyolysis	NULL	NULL	3. only partial map possible
13	M79.604	Pain in right leg	FB56.4	Pain in limb	FB56.4&XA45A6&XK9K	Pain in limb & Lower Extremity & Right	2. full map by postcoordination
13	M79.605	Pain in left leg	FB56.4	Pain in limb	FB56.4&XA45A6&XK8G	Pain in limb & Lower Extremity & Left	2. full map by postcoordination
13	M79.671	Pain in right foot	FB56.4	Pain in limb	FB56.4&XA47V8&XK9K	Pain in limb & Foot & Right	2. full map by postcoordination
13	M79.672	Pain in left foot	FB56.4	Pain in limb	FB56.4&XA47V8&XK8G	Pain in limb & Foot & Left	2. full map by postcoordination
13	M79.7	Fibromyalgia	MG30.01	Chronic widespread pain	NULL	NULL	3. only partial map possible
13	M79.89	Other specified soft tissue disorders	FB56.6	Other specified soft tissue disorders	NULL		3. only partial map possible
13	M81.0	Age-related osteoporosis without current pathological fracture	FB83.1Y	Other specified osteoporosis	FB83.1Y&XT9T	Other specified osteoporosis & Ageing-related	2. full map by postcoordination
13	M85.80	Other specified disorders of bone density and structure, unspecified site	FB80.Y	Other specified disorders of bone density and structure	NULL	NULL	3. only partial map possible
13	M85.88	Other specified disorders of bone density and structure, other site	FB80.Y	Other specified disorders of bone density and structure	NULL	NULL	3. only partial map possible
14	N17.9	Acute kidney failure, unspecified	GB60.Z	Acute kidney failure, stage unspecified	NULL	NULL	1. full map by precoordination
14	N18.3	Chronic kidney disease, stage 3 (moderate)	GB61.Z	GB61.Z Chronic kidney disease, stage unspecified	NULL	NULL	3. only partial map possible
14	N18.4	Chronic kidney disease, stage 4 (severe)	GB61.4	Chronic kidney disease, stage 4	NULL	NULL	1. full map by precoordination
14	N18.6	End stage renal disease	GB61.5	Chronic kidney disease, stage 5	NULL	NULL	1. full map by precoordination
14	N18.9	Chronic kidney disease, unspecified	GB61.Z	Chronic kidney disease, stage unspecified	NULL	NULL	1. full map by precoordination
14	N20.0	Calculus of kidney	GB70.0Z	Calculus of kidney, unspecified	NULL	NULL	1. full map by precoordination
14	N25.81	Secondary hyperparathyroidism of renal origin	5A51.1	Secondary hyperparathyroidism	5A51.1/GC2Z&XA6KU8	Secondary hyperparathyroidism / Diseases of the urinary system, unspecified & Kidney	2. full map by postcoordination
14	N39.0	Urinary tract infection, site not specified	GC08.Z	Urinary tract infection, site and agent not specified	NULL	NULL	1. full map by precoordination
14	N40.0	Benign prostatic hyperplasia without lower urinary tract symptoms	GA90	Hyperplasia of prostate	NULL	NULL	1. full map by precoordination
14	N40.1	Benign prostatic hyperplasia with lower urinary tract symptoms	GA90	Hyperplasia of prostate	NULL	NULL	3. only partial map possible
15	O02.1             	Missed abortion	JA03	Missed abortion	NULL	NULL	1. full map by precoordination
15	O03.9             	Complete or unspecified spontaneous abortion without complication	JA00.09	Spontaneous abortion, complete or unspecified, without complication	NULL	NULL	1. full map by precoordination
15	O09.219           	Supervision of pregnancy with history of pre-term labor, unspecified trimester	QA43.2	Supervision of pregnancy with other poor reproductive or obstetric history	NULL	NULL	3. only partial map possible
15	O09.291           	Supervision of pregnancy with other poor reproductive or obstetric history, first trimester	QA43.2	Supervision of pregnancy with other poor reproductive or obstetric history	NULL		3. only partial map possible
15	O09.299           	Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester	QA43.2	Supervision of pregnancy with other poor reproductive or obstetric history	NULL		3. only partial map possible
15	O09.30            	Supervision of pregnancy with insufficient antenatal care, unspecified trimester	QA43.3	Supervision of pregnancy with history of insufficient antenatal care	NULL		1. full map by precoordination
15	O09.521           	Supervision of elderly multigravida, first trimester	QA43.Y	Other specified supervision of high-risk pregnancy	NULL		3. only partial map possible
15	O09.522           	Supervision of elderly multigravida, second trimester	QA43.Y	Other specified supervision of high-risk pregnancy	NULL		3. only partial map possible
15	O09.523           	Supervision of elderly multigravida, third trimester	QA43.Y	Other specified supervision of high-risk pregnancy	NULL	NULL	3. only partial map possible
15	O09.529           	Supervision of elderly multigravida, unspecified trimester	QA43.Y	Other specified supervision of high-risk pregnancy	NULL	NULL	3. only partial map possible
15	O09.899           	Supervision of other high risk pregnancies, unspecified trimester	QA43.Y	Other specified supervision of high-risk pregnancy	NULL	NULL	3. only partial map possible
15	O09.90            	Supervision of high risk pregnancy, unspecified, unspecified trimester	QA43.Z	Supervision of high-risk pregnancy, unspecified	NULL	NULL	1. full map by precoordination
15	O09.93            	Supervision of high risk pregnancy, unspecified, third trimester	QA43.Z	Supervision of high-risk pregnancy, unspecified	NULL	NULL	3. only partial map possible
15	O10.919           	Unspecified pre-existing hypertension complicating pregnancy, unspecified trimester	JA20.Z	Pre-existing hypertension complicating pregnancy, childbirth or the puerperium, unspecified	NULL	NULL	3. only partial map possible
15	O13.3             	Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester	JA23	Gestational hypertension	NULL	NULL	3. only partial map possible
15	O16.3             	Unspecified maternal hypertension, third trimester	JA23	Gestational hypertension	NULL	NULL	3. only partial map possible
15	O20.0             	Threatened abortion	JA40.0	Threatened abortion	NULL	NULL	1. full map by precoordination
15	O20.9             	Hemorrhage in early pregnancy, unspecified	JA40.Y	Other specified haemorrhage in early pregnancy	NULL		3. only partial map possible
15	O21.9             	Vomiting of pregnancy, unspecified	JA60.Z	Excessive vomiting in pregnancy, unspecified	NULL	NULL	1. full map by precoordination
15	O24.410           	Gestational diabetes mellitus in pregnancy, diet controlled	JA63.2	Diabetes mellitus arising in pregnancy	NULL	NULL	3. only partial map possible
15	O24.419           	Gestational diabetes mellitus in pregnancy, unspecified control	JA63.2	Diabetes mellitus arising in pregnancy	NULL	NULL	1. full map by precoordination
15	O26.841           	Uterine size-date discrepancy, first trimester	JA86.Y	Maternal care for other specified fetal problems	NULL	NULL	3. only partial map possible
15	O26.843           	Uterine size-date discrepancy, third trimester	JA86.Y	Maternal care for other specified fetal problems	NULL	NULL	3. only partial map possible
15	O26.849           	Uterine size-date discrepancy, unspecified trimester	JA86.Y	Maternal care for other specified fetal problems	NULL	NULL	3. only partial map possible
15	O26.891           	Other specified pregnancy related conditions, first trimester	JA65.Y	Maternal care for other specified conditions predominantly related to pregnancy	NULL	NULL	3. only partial map possible
15	O26.892           	Other specified pregnancy related conditions, second trimester	JA65.Y	Maternal care for other specified conditions predominantly related to pregnancy	NULL	NULL	3. only partial map possible
15	O26.893           	Other specified pregnancy related conditions, third trimester	JA65.Y	Maternal care for other specified conditions predominantly related to pregnancy	NULL	NULL	3. only partial map possible
15	O26.899           	Other specified pregnancy related conditions, unspecified trimester	JA65.Y	Maternal care for other specified conditions predominantly related to pregnancy	NULL	NULL	3. only partial map possible
15	O28.3             	Abnormal ultrasonic finding on antenatal screening of mother	JA66.3	Abnormal ultrasonic finding on antenatal screening of mother	NULL	NULL	1. full map by precoordination
15	O28.9             	Unspecified abnormal findings on antenatal screening of mother	JA66.Z	Clinical findings on antenatal screening of mother, unspecified	NULL		1. full map by precoordination
15	O30.009           	Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester	JA80.0	Twin pregnancy	NULL	NULL	3. only partial map possible
15	O32.1XX0	Maternal care for breech presentation, not applicable or unspecified	JA82.1	Maternal care for breech presentation	NULL	NULL	1. full map by precoordination
15	O35.8XX0          	Maternal care for other (suspected) fetal abnormality and damage, not applicable or unspecified	JA85.Y	Maternal care for known or suspected other specified fetal abnormality or damage	NULL	NULL	3. only partial map possible
15	O35.8XX1          	Maternal care for other (suspected) fetal abnormality and damage, fetus 1	JA85.Y	Maternal care for known or suspected other specified fetal abnormality or damage	NULL	NULL	3. only partial map possible
15	O36.5990          	Maternal care for other known or suspected poor fetal growth, unspecified trimester, not applicable or unspecified	JA86.4	Maternal care for fetal growth restriction	NULL	NULL	3. only partial map possible
15	O36.80X0          	Pregnancy with inconclusive fetal viability, not applicable or unspecified	JA86.Y	Maternal care for other specified fetal problems	NULL	NULL	3. only partial map possible
15	O48.0             	Post-term pregnancy	JA8E	Maternal care related to prolonged pregnancy	NULL	NULL	1. full map by precoordination
15	O80	Encounter for full-term uncomplicated delivery	JB20.Z	Single spontaneous delivery, unspecified	NULL		1. full map by precoordination
15	O92.70	Unspecified disorders of lactation	JB46.7	Other or unspecified disorders of lactation	NULL	NULL	3. only partial map possible
15	O99.019           	Anemia complicating pregnancy, unspecified trimester	JB64.0	Anaemia complicating pregnancy, childbirth or the puerperium	NULL		3. only partial map possible
15	O99.210           	Obesity complicating pregnancy, unspecified trimester	JB64.2	Endocrine, nutritional or metabolic diseases complicating pregnancy, childbirth or the puerperium	NULL		3. only partial map possible
15	O99.345           	Other mental disorders complicating the puerperium	JB64.Y	Other specified maternal diseases classifiable elsewhere but complicating pregnancy, childbirth or the puerperium	NULL		3. only partial map possible
15	O99.810           	Abnormal glucose complicating pregnancy	JA66.1	Abnormal biochemical finding on antenatal screening of mother	NULL		3. only partial map possible
15	O99.820           	Streptococcus B carrier state complicating pregnancy	JA65.Y	Maternal care for other specified conditions predominantly related to pregnancy	NULL		3. only partial map possible
15	O99.89            	Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium	JB64.Y	Other specified maternal diseases classifiable elsewhere but complicating pregnancy, childbirth or the puerperium	NULL		3. only partial map possible
16	P07.30	Preterm newborn, unspecified weeks of gestation	KA21.4Z	Preterm newborn, unspecified	NULL	NULL	1. full map by precoordination
16	P09	Abnormal findings on neonatal screening	MG71.0	Abnormal findings on neonatal screening	NULL	NULL	1. full map by precoordination
16	P22.0	Respiratory distress syndrome of newborn	KB23.0Z	Respiratory distress syndrome of newborn, unspecified	NULL	NULL	1. full map by precoordination
16	P27.1	Bronchopulmonary dysplasia originating in the perinatal period	KB29.0	Bronchopulmonary dysplasia originating in the perinatal period	NULL	NULL	1. full map by precoordination
16	P59.3             	Neonatal jaundice from breast milk inhibitor	KA87.2	Neonatal hyperbilirubinaemia due to breast milk inhibitor of bilirubin conjugation	NULL	NULL	1. full map by precoordination
16	P59.9	Neonatal jaundice, unspecified	KA87.Z	Neonatal hyperbilirubinaemia, unspecified	NULL	NULL	1. full map by precoordination
16	P78.83            	Newborn esophageal reflux	KB80	Gastro-oesophageal reflux disease in newborn	NULL	NULL	1. full map by precoordination
16	P83.81	Umbilical granuloma	KC20.2	Umbilical granuloma of newborn	NULL	NULL	1. full map by precoordination
16	P92.5	Neonatal difficulty in feeding at breast	KD32.3	Neonatal difficulty in feeding at breast	NULL	NULL	1. full map by precoordination
16	P92.6             	Failure to thrive in newborn	KD32.4	Failure to thrive in newborn	NULL	NULL	1. full map by precoordination
16	P92.9             	Feeding problem of newborn, unspecified	KD32.Z	Feeding problems of newborn, unspecified	NULL	NULL	1. full map by precoordination
16	P96.89	Other specified conditions originating in the perinatal period	KD3Y	Other specified disorders originating in the perinatal period	NULL	NULL	3. only partial map possible
17	Q02	Microcephaly	LA05.0	Microcephaly	NULL	NULL	1. full map by precoordination
17	Q04.8	Other specified congenital malformations of brain	LA05.Z	Cerebral structural developmental anomalies, unspecified	NULL	NULL	3. only partial map possible
17	Q06.8             	Other specified congenital malformations of spinal cord	LA07.Y	Other specified structural developmental anomalies of the neurenteric canal, spinal	LA07.Y&XA0V83	Other specified structural developmental anomalies of the neurenteric canal, spinal & Spinal cord	2. full map by postcoordination
17	Q07.9	Congenital malformation of nervous system, unspecified	8E7Z	Diseases of the nervous system, unspecified	NULL		3. only partial map possible
17	Q20.3             	Discordant ventriculoarterial connection	LA85.1	Transposition of the great arteries	NULL		3. only partial map possible
17	Q21.0             	Ventricular septal defect	LA88.4Z	Ventricular septal defect, unspecified	NULL	NULL	1. full map by precoordination
17	Q21.1	Atrial septal defect	LA8E.Y	Other specified congenital anomaly of atrial septum	NULL		3. only partial map possible
17	Q21.2	Atrioventricular septal defect	LA87.20	Atrioventricular septal defect	NULL	NULL	1. full map by precoordination
17	Q21.3             	Tetralogy of Fallot	LA88.2Z	Tetralogy of Fallot, unspecified	NULL	NULL	1. full map by precoordination
17	Q22.1	Congenital pulmonary valve stenosis	LA8A.00	Congenital pulmonary valvar stenosis	NULL	NULL	1. full map by precoordination
17	Q23.1	Congenital insufficiency of aortic valve	LA8A.21	Congenital aortic regurgitation	NULL	NULL	1. full map by precoordination
17	Q23.3	Congenital mitral insufficiency	LA87.10	Congenital mitral regurgitation	NULL	NULL	1. full map by precoordination
17	Q24.8             	Other specified congenital malformations of heart	LA8Y	Other specified structural developmental anomaly of heart or great vessels	NULL		3. only partial map possible
17	Q24.9             	Congenital malformation of heart, unspecified	LA8Z	Structural developmental anomaly of heart or great vessels, unspecified	NULL	NULL	3. only partial map possible
17	Q25.0	Patent ductus arteriosus	LA8B.4	Patent arterial duct	NULL	NULL	1. full map by precoordination
17	Q25.1             	Coarctation of aorta	LA8B.21	Coarctation of aorta	NULL	NULL	1. full map by precoordination
17	Q25.6	Stenosis of pulmonary artery	LA8B.1	Congenital anomaly of pulmonary arterial tree	NULL	NULL	3. only partial map possible
17	Q31.5	Congenital laryngomalacia	LA71.0	Congenital laryngomalacia	NULL	NULL	1. full map by precoordination
17	Q34.9	Congenital malformation of respiratory system, unspecified	LA7Z	Structural developmental anomalies of the respiratory system, unspecified	NULL	NULL	1. full map by precoordination
17	Q38.1	Ankyloglossia	LA31.2	Ankyloglossia	NULL	NULL	1. full map by precoordination
17	Q53.10            	Unspecified undescended testicle, unilateral	LB52.1	Undescended testicle, unilateral	NULL		1. full map by precoordination
17	Q53.9	Undescended testicle, unspecified	LB52.Z	Cryptorchidism, unspecified	NULL	NULL	1. full map by precoordination
17	Q54.9	Hypospadias, unspecified	LB53.Z	Hypospadias, unspecified	NULL	NULL	1. full map by precoordination
17	Q55.22	Retractile testis	MF42	Retractile testis migrans	NULL	NULL	1. full map by precoordination
17	Q55.69	Other congenital malformation of penis	LB5Y	Other specified structural developmental anomalies of the male genital system	NULL	NULL	3. only partial map possible
17	Q62.0             	Congenital hydronephrosis	LB31.0	Congenital hydronephrosis	NULL	NULL	1. full map by precoordination
17	Q65.89            	Other specified congenital deformities of hip	LB74.Y	Other specified structural developmental anomalies of pelvic girdle	NULL	NULL	3. only partial map possible
17	Q66.02	Congenital talipes equinovarus, left foot	LB98.00	Talipes equinovarus	LB98.00&XK8G	Talipes equinovarus & Left	2. full map by postcoordination
17	Q66.229	Congenital metatarsus adductus, unspecified foot	LB98.02	Metatarsus varus	NULL	NULL	3. only partial map possible
17	Q66.6             	Other congenital valgus deformities of feet	LB98.2Y	Other specified congenital valgus deformities of feet	NULL	NULL	3. only partial map possible
17	Q66.89            	Other specified congenital deformities of feet	LB98.Y	Other specified congenital deformities of feet	NULL	NULL	3. only partial map possible
17	Q67.3             	Plagiocephaly	LB70.00	Plagiocephaly	NULL	NULL	1. full map by precoordination
17	Q67.4             	Other congenital deformities of skull, face and jaw	LD0Y	Other specified structural developmental anomalies primarily affecting one body system	NULL		3. only partial map possible
17	Q67.5	Congenital deformity of spine	LA07.Z	Structural developmental anomalies of the neurenteric canal, spinal cord or vertebral column, unspecified	LA07.Z&XA5J55	Structural developmental anomalies of the neurenteric canal, spinal cord or vertebral column, unspecified & Vertebral column	2. full map by postcoordination
17	Q67.6             	Pectus excavatum	LB73.13	Structural developmental anomalies of sternum	NULL	NULL	3. only partial map possible
17	Q67.7	Pectus carinatum	LB73.13	Structural developmental anomalies of sternum	NULL	NULL	3. only partial map possible
17	Q68.0	Congenital deformity of sternocleidomastoid muscle	LA6Y	Other specified structural developmental anomalies of the neck	NULL	NULL	3. only partial map possible
17	Q74.2             	Other congenital malformations of lower limb(s), including pelvic girdle	LD9Y	Other specified developmental anomalies	NULL	NULL	3. only partial map possible
17	Q75.0	Craniosynostosis	LB70.0Z	Craniosynostosis, unspecified	NULL	NULL	1. full map by precoordination
17	Q75.3	Macrocephaly	LB70.3	Macrocephaly	NULL	NULL	1. full map by precoordination
17	Q75.9	Congenital malformation of skull and face bones, unspecified	LD0Y	Other specified structural developmental anomalies primarily affecting one body system	NULL	NULL	3. only partial map possible
17	Q76.49            	Other congenital malformations of spine, not associated with scoliosis	LA07.Y	Other specified structural developmental anomalies of the neurenteric canal, spinal cord or vertebral column	LA07.Y&XA0V83	Other specified structural developmental anomalies of the neurenteric canal, spinal cord or vertebral column& Spine	3. only partial map possible
17	Q78.0             	Osteogenesis imperfecta	LD24.K0	Osteogenesis imperfecta	NULL	NULL	1. full map by precoordination
17	Q82.5             	Congenital non-neoplastic nevus	LC7Y	Other specified structural developmental anomalies of the skin	NULL	NULL	3. only partial map possible
17	Q82.6	Congenital sacral dimple	LC7Y	Other specified structural developmental anomalies of the skin	NULL	NULL	3. only partial map possible
17	Q82.8             	Other specified congenital malformations of skin	LC7Y	Other specified structural developmental anomalies of the skin	NULL	NULL	3. only partial map possible
17	Q87.89            	Other specified congenital malformation syndromes, not elsewhere classified	LD2F.Y	Other specified syndromes with multiple structural anomalies, without predominant body system involvement	NULL	NULL	3. only partial map possible
17	Q89.7	Multiple congenital malformations, not elsewhere classified	LD2Z	Multiple developmental anomalies or syndromes, unspecified	NULL	NULL	1. full map by precoordination
17	Q89.8             	Other specified congenital malformations	LD9Y	Other specified developmental anomalies	NULL	NULL	3. only partial map possible
17	Q89.9	Congenital malformation, unspecified	LD9Z	Developmental anomalies, unspecified	NULL	NULL	1. full map by precoordination
17	Q90.9	Down syndrome, unspecified	LD40.0	Complete trisomy 21	NULL	NULL	1. full map by precoordination
17	Q99.8             	Other specified chromosome abnormalities	LD7Y	Other specified chromosomal anomalies, excluding gene mutations	NULL	NULL	3. only partial map possible
17	Q99.9             	Chromosomal abnormality, unspecified	LD7Z	Chromosomal anomalies, excluding gene mutations, unspecified	NULL	NULL	3. only partial map possible
18	R00.0	Tachycardia, unspecified	MC81.0	Tachycardia, unspecified	NULL	NULL	1. full map by precoordination
18	R00.1	Bradycardia, unspecified	MC81.1	Bradycardia, unspecified	NULL	NULL	1. full map by precoordination
18	R00.2	Palpitations	MC81.2	Palpitations	NULL	NULL	1. full map by precoordination
18	R05	Cough	MD12	Cough	NULL	NULL	1. full map by precoordination
18	R06.00	Dyspnea, unspecified	MD11.5	Dyspnoea	NULL	NULL	1. full map by precoordination
18	R06.02	Shortness of breath	MD11.5	Dyspnoea	NULL		1. full map by precoordination
18	R06.09	Other forms of dyspnea	MD11.5	Dyspnoea	NULL		3. only partial map possible
18	R07.89	Other chest pain	MD30.1	Other chest pain	NULL		3. only partial map possible
18	R07.9	Chest pain, unspecified	MD30.Z	Chest pain, unspecified	NULL	NULL	1. full map by precoordination
18	R09.02	Hypoxemia	MD11.1	Asphyxia	NULL	NULL	3. only partial map possible
18	R10.13	Epigastric pain	MD81.10	Pain localised to upper abdomen	NULL	NULL	3. only partial map possible
18	R10.9	Unspecified abdominal pain	MD81.4	Other and unspecified abdominal pain	NULL	NULL	3. only partial map possible
18	R11.0	Nausea	MD90.0	Nausea	NULL	NULL	1. full map by precoordination
18	R11.2	Nausea with vomiting, unspecified	MD90.0	Nausea	NULL	NULL	3. only partial map possible
18	R13.10	Dysphagia, unspecified	MD93	Dysphagia	NULL	NULL	1. full map by precoordination
18	R18.8	Other ascites	ME04.Y	Other specified ascites	NULL	NULL	3. only partial map possible
18	R19.7	Diarrhea, unspecified	ME05.1	Diarrhoea	NULL	NULL	1. full map by precoordination
18	R26.2	Difficulty in walking, not elsewhere classified	MB44.2	Difficulty in walking	NULL	NULL	1. full map by precoordination
18	R26.89	Other abnormalities of gait and mobility	MB44.Y	Other specified abnormalities of gait and mobility	NULL	NULL	3. only partial map possible
18	R26.9	Unspecified abnormalities of gait and mobility	MB44.Z	Abnormalities of gait and mobility, unspecified	NULL	NULL	1. full map by precoordination
18	R29.6	Repeated falls	MB47.C	Tendency to fall	NULL	NULL	3. only partial map possible
18	R30.0	Dysuria	MF50.7	Dysuria	NULL	NULL	1. full map by precoordination
18	R31.9	Hematuria, unspecified	MF50.4Z	Haematuria, unspecified	NULL	NULL	1. full map by precoordination
18	R32	Unspecified urinary incontinence	MF50.2Z	Urinary incontinence, unspecified	NULL	NULL	1. full map by precoordination
18	R33.8	Other retention of urine	MF50.3	Retention of urine	NULL		3. only partial map possible
18	R33.9	Retention of urine, unspecified	MF50.3	Retention of urine	NULL	NULL	1. full map by precoordination
18	R35.0	Frequency of micturition	MF50.0	Frequent micturition	NULL	NULL	1. full map by precoordination
18	R41.0	Disorientation, unspecified	MB21.4	Disorientation	NULL	NULL	1. full map by precoordination
18	R41.3	Other amnesia	MB21.1Z	Amnesia, unspecified	NULL	NULL	3. only partial map possible
18	R41.82	Altered mental status, unspecified	MB21.Y	Other specified symptoms and signs involving cognition	NULL	NULL	3. only partial map possible
18	R42	Dizziness and giddiness	MB48.Z	Dizziness and giddiness, unspecified	NULL	NULL	1. full map by precoordination
18	R45.851	Suicidal ideations	MB26.A	Suicidal ideation	NULL	NULL	1. full map by precoordination
18	R47.01	Aphasia	MA80.0	Aphasia	NULL	NULL	1. full map by precoordination
18	R50.9	Fever, unspecified	MG26	Fever of other or unknown origin	NULL	NULL	1. full map by precoordination
18	R51	Headache	MB6Y	Other specified symptoms or signs involving the nervous system	NULL	NULL	3. only partial map possible
18	R53.1	Weakness	MG22	Fatigue	NULL	NULL	3. only partial map possible
18	R53.81	Other malaise	MG25	Feeling ill	NULL	NULL	3. only partial map possible
18	R53.83	Other fatigue	MG22	Fatigue	NULL	NULL	3. only partial map possible
18	R55	Syncope and collapse	MG45.Z	Syncope and collapse, unspecified	NULL	NULL	1. full map by precoordination
18	R56.9	Unspecified convulsions	8A68.Z	Type of seizure, unspecified	NULL	NULL	1. full map by precoordination
18	R60.0	Localized edema	MG29.0Y	Other specified localised oedema	NULL	NULL	3. only partial map possible
18	R60.9	Edema, unspecified	MG29.Z	Oedema, unspecified	NULL	NULL	1. full map by precoordination
18	R62.7	Adult failure to thrive	MG20.Z	Cachexia, unspecified	NULL	NULL	3. only partial map possible
18	R63.4	Abnormal weight loss	MG43.5	Excessive weight loss	NULL	NULL	1. full map by precoordination
18	R64	Cachexia	MG20.Z	Cachexia, unspecified	NULL	NULL	1. full map by precoordination
18	R65.20	Severe sepsis without septic shock	1G40	Sepsis without septic shock	NULL		3. only partial map possible
18	R65.21	Severe sepsis with septic shock	1G41	Sepsis with septic shock	NULL		3. only partial map possible
18	R73.01	Impaired fasting glucose	5A40.0	Impaired fasting glucose	NULL	NULL	1. full map by precoordination
18	R73.09	Other abnormal glucose	5A40.Z	Intermediate hyperglycaemia, unspecified	NULL	NULL	3. only partial map possible
