icd9cm;icd9_title;icd10cm;Maptype
V4611;Dependence on respirator, status;Z9911;general equivalence mapping(medicare)
79001;Precipitous drop in hematocrit;R710;general equivalence mapping(medicare)
59970;Hematuria, unspecified;R319;general equivalence mapping(medicare)
V442;Ileostomy status;Z932;general equivalence mapping(medicare)
V442;Person on outside of car injured in collision with heavy transport vehicle or bus in nontraffic accident;Z932;general equivalence mapping(medicare)
V551;Attention to gastrostomy;Z431;general equivalence mapping(medicare)
V551;Passenger in pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident;Z431;general equivalence mapping(medicare)
V550;Attention to tracheostomy;Z430;general equivalence mapping(medicare)
V550;Driver of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident;Z430;general equivalence mapping(medicare)
48241;Methicillin susceptible pneumonia due to Staphylococcus aureus;J15211;general equivalence mapping(medicare)
1120;Candidiasis of mouth;B370;general equivalence mapping(medicare)
1120;Candidiasis of mouth;B3783;general equivalence mapping(medicare)
28984;Heparin-induced thrombocytopenia (HIT);D7582;general equivalence mapping(medicare)
7824;Jaundice, unspecified, not of newborn;R17;general equivalence mapping(medicare)
2839;Acquired hemolytic anemia, unspecified;D599;general equivalence mapping(medicare)
40310;Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified;I129;general equivalence mapping(medicare)
8602;Traumatic hemothorax without mention of open wound into thorax;S271XXA;general equivalence mapping(medicare)
5070;Pneumonitis due to inhalation of food or vomitus;J690;general equivalence mapping(medicare)
80708;Closed fracture of eight or more ribs;S2249XA;general equivalence mapping(medicare)
E8809;Accidental fall on or from other stairs or steps;W108XXA;general equivalence mapping(medicare)
E8809;Other disorders of plasma-protein metabolism, not elsewhere classified;W108XXA;general equivalence mapping(medicare)
85011;Concussion, with loss of consciousness of 30 minutes or less;S060X1A;general equivalence mapping(medicare)
25541;Glucocorticoid deficiency;E271;general equivalence mapping(medicare)
25541;Glucocorticoid deficiency;E272;general equivalence mapping(medicare)
25541;Glucocorticoid deficiency;E2740;general equivalence mapping(medicare)
81002;Closed fracture of shaft of clavicle;S42023A;general equivalence mapping(medicare)
81002;Closed fracture of shaft of clavicle;S42026A;general equivalence mapping(medicare)
8738;Other and unspecified open wound of head without mention of complication;S0190XA;general equivalence mapping(medicare)
8738;Other and unspecified open wound of head without mention of complication;S0990XA;general equivalence mapping(medicare)
V553;Attention to colostomy;Z433;general equivalence mapping(medicare)
V553;Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident;Z433;general equivalence mapping(medicare)
V5332;Fitting and adjustment of automatic implantable cardiac defibrillator;Z4502;general equivalence mapping(medicare)
0416;Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site;B964;general equivalence mapping(medicare)
9971;Cardiac complications, not elsewhere classified;I97710;general equivalence mapping(medicare)
9971;Cardiac complications, not elsewhere classified;I97790;general equivalence mapping(medicare)
9971;Cardiac complications, not elsewhere classified;I9788;general equivalence mapping(medicare)
9971;Cardiac complications, not elsewhere classified;I9789;general equivalence mapping(medicare)
2910;Alcohol withdrawal delirium;F10231;general equivalence mapping(medicare)
E8844;Accidental fall from bed;W06XXXA;general equivalence mapping(medicare)
30390;Other and unspecified alcohol dependence, unspecified;F1020;general equivalence mapping(medicare)
V1072;Personal history of hodgkin's disease;Z8571;general equivalence mapping(medicare)
V422;Heart valve replaced by transplant;Z953;general equivalence mapping(medicare)
V422;Person on outside of car injured in collision with two- or three-wheeled motor vehicle in nontraffic accident;Z953;general equivalence mapping(medicare)
3968;Multiple involvement of mitral and aortic valves;I088;general equivalence mapping(medicare)
4142;Chronic total occlusion of coronary artery;I2582;general equivalence mapping(medicare)
V1079;Personal history of other lymphatic and hematopoietic neoplasms;Z8579;general equivalence mapping(medicare)
V4577;Acquired absence of organ, genital organs;Z9079;general equivalence mapping(medicare)
61804;Rectocele;N816;general equivalence mapping(medicare)
61801;Cystocele, midline;N8110;general equivalence mapping(medicare)
61801;Cystocele, midline;N8111;general equivalence mapping(medicare)
78833;Mixed incontinence (male) (female);N3946;general equivalence mapping(medicare)
63481;Spontaneous abortion, with unspecified complication, incomplete;O0330;general equivalence mapping(medicare)
6259;Unspecified symptom associated with female genital organs;N9489;general equivalence mapping(medicare)
6259;Unspecified symptom associated with female genital organs;R102;general equivalence mapping(medicare)
48249;Other Staphylococcus pneumonia;J1529;general equivalence mapping(medicare)
5829;Chronic glomerulonephritis with unspecified pathological lesion in kidney;N039;general equivalence mapping(medicare)
78722;Dysphagia, oropharyngeal phase;R1312;general equivalence mapping(medicare)
99731;Ventilator associated pneumonia;J95851;general equivalence mapping(medicare)
40300;Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified;I129;general equivalence mapping(medicare)
34290;Hemiplegia, unspecified, affecting unspecified side;G8190;general equivalence mapping(medicare)
E9383;Intravenous anesthetics causing adverse effects in therapeutic use;NoDx;general equivalence mapping(medicare)
E9383;Intravenous anesthetics causing adverse effects in therapeutic use;T51.94XA;manual matching
3129;Unspecified disturbance of conduct;F919;general equivalence mapping(medicare)
78442;Dysphonia;R490;general equivalence mapping(medicare)
30502;Alcohol abuse, episodic;F1010;general equivalence mapping(medicare)
V1279;Personal history of other diseases of digestive system;Z8719;general equivalence mapping(medicare)
4552;Internal hemorrhoids with other complication;K648;general equivalence mapping(medicare)
46400;Acute laryngitis without mention of obstruction;J040;general equivalence mapping(medicare)
7851;Palpitations;R002;general equivalence mapping(medicare)
8208;Closed fracture of unspecified part of neck of femur;S72009A;general equivalence mapping(medicare)
V1241;Personal history of benign neoplasm of the brain;Z86011;general equivalence mapping(medicare)
72210;Displacement of lumbar intervertebral disc without myelopathy;M5126;general equivalence mapping(medicare)
72210;Displacement of lumbar intervertebral disc without myelopathy;M5127;general equivalence mapping(medicare)
6171;Endometriosis of ovary;N801;general equivalence mapping(medicare)
6173;Endometriosis of pelvic peritoneum;N803;general equivalence mapping(medicare)
28989;Other specified diseases of blood and blood-forming organs;D474;general equivalence mapping(medicare)
28989;Other specified diseases of blood and blood-forming organs;D7589;general equivalence mapping(medicare)
28989;Other specified diseases of blood and blood-forming organs;D892;general equivalence mapping(medicare)
1985;Secondary malignant neoplasm of bone and bone marrow;C7951;general equivalence mapping(medicare)
1985;Secondary malignant neoplasm of bone and bone marrow;C7952;general equivalence mapping(medicare)
3363;Myelopathy in other diseases classified elsewhere;G992;general equivalence mapping(medicare)
1984;Secondary malignant neoplasm of other parts of nervous system;C7932;general equivalence mapping(medicare)
1984;Secondary malignant neoplasm of other parts of nervous system;C7949;general equivalence mapping(medicare)
2903;Senile dementia with delirium;F0390;general equivalence mapping(medicare)
2903;Senile dementia with delirium;F05;general equivalence mapping(medicare)
2536;Other disorders of neurohypophysis;E222;general equivalence mapping(medicare)
2920;Drug withdrawal;F19939;general equivalence mapping(medicare)
V1052;Personal history of malignant neoplasm of kidney;Z85528;general equivalence mapping(medicare)
3962;Mitral valve insufficiency and aortic valve stenosis;I080;general equivalence mapping(medicare)
1540;Malignant neoplasm of rectosigmoid junction;C19;general equivalence mapping(medicare)
56983;Perforation of intestine;K631;general equivalence mapping(medicare)
51181;Malignant pleural effusion;J910;general equivalence mapping(medicare)
99659;Mechanical complication due to other implant and internal device, not elsewhere classified;T85398A;general equivalence mapping(medicare)
99659;Mechanical complication due to other implant and internal device, not elsewhere classified;T85590A;general equivalence mapping(medicare)
99659;Mechanical complication due to other implant and internal device, not elsewhere classified;T85692A;general equivalence mapping(medicare)
99659;Mechanical complication due to other implant and internal device, not elsewhere classified;T85698A;general equivalence mapping(medicare)
80700;Closed fracture of rib(s), unspecified;S2239XA;general equivalence mapping(medicare)
70722;Pressure ulcer, stage II;NoDx;general equivalence mapping(medicare)
70722;Pressure ulcer, stage II;L891;manual matching
70705;Pressure ulcer, buttock;L89309;general equivalence mapping(medicare)
43310;Occlusion and stenosis of carotid artery without mention of cerebral infarction;I6529;general equivalence mapping(medicare)
43330;Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction;I658;general equivalence mapping(medicare)
475;Peritonsillar abscess;J36;general equivalence mapping(medicare)
42612;Mobitz (type) II atrioventricular block;I441;general equivalence mapping(medicare)
71594;Osteoarthrosis, unspecified whether generalized or localized, hand;M189;general equivalence mapping(medicare)
7224;Degeneration of cervical intervertebral disc;M5030;general equivalence mapping(medicare)
72252;Degeneration of lumbar or lumbosacral intervertebral disc;M5136;general equivalence mapping(medicare)
72252;Degeneration of lumbar or lumbosacral intervertebral disc;M5137;general equivalence mapping(medicare)
V1083;Personal history of other malignant neoplasm of skin;Z85828;general equivalence mapping(medicare)
V173;Family history of ischemic heart disease;Z8249;general equivalence mapping(medicare)
V173;Person boarding or alighting a pedal cycle injured in collision with fixed or stationary object;Z8249;general equivalence mapping(medicare)
1625;Malignant neoplasm of lower lobe, bronchus or lung;C3430;general equivalence mapping(medicare)
V851;Body Mass Index between 19-24, adult;Z6820;general equivalence mapping(medicare)
V851;Body Mass Index between 19-24, adult;Z6821;general equivalence mapping(medicare)
V851;Body Mass Index between 19-24, adult;Z6822;general equivalence mapping(medicare)
V851;Body Mass Index between 19-24, adult;Z6823;general equivalence mapping(medicare)
V851;Body Mass Index between 19-24, adult;Z6824;general equivalence mapping(medicare)
V851;Passenger of special construction vehicle injured in traffic accident;Z6820;general equivalence mapping(medicare)
V851;Passenger of special construction vehicle injured in traffic accident;Z6821;general equivalence mapping(medicare)
V851;Passenger of special construction vehicle injured in traffic accident;Z6822;general equivalence mapping(medicare)
V851;Passenger of special construction vehicle injured in traffic accident;Z6823;general equivalence mapping(medicare)
V851;Passenger of special construction vehicle injured in traffic accident;Z6824;general equivalence mapping(medicare)
79022;Impaired glucose tolerance test (oral);R7302;general equivalence mapping(medicare)
30393;Other and unspecified alcohol dependence, in remission;F1021;general equivalence mapping(medicare)
7213;Lumbosacral spondylosis without myelopathy;M47817;general equivalence mapping(medicare)
3569;Unspecified hereditary and idiopathic peripheral neuropathy;G609;general equivalence mapping(medicare)
2752;Disorders of magnesium metabolism;E8340;general equivalence mapping(medicare)
2752;Disorders of magnesium metabolism;E8341;general equivalence mapping(medicare)
2752;Disorders of magnesium metabolism;E8342;general equivalence mapping(medicare)
2752;Disorders of magnesium metabolism;E8349;general equivalence mapping(medicare)
78702;Nausea alone;R110;general equivalence mapping(medicare)
51289;Other pneumothorax;J9383;general equivalence mapping(medicare)
51289;Other pneumothorax;J939;general equivalence mapping(medicare)
78605;Shortness of breath;R0602;general equivalence mapping(medicare)
7820;Disturbance of skin sensation;R200;general equivalence mapping(medicare)
7820;Disturbance of skin sensation;R201;general equivalence mapping(medicare)
7820;Disturbance of skin sensation;R202;general equivalence mapping(medicare)
7820;Disturbance of skin sensation;R203;general equivalence mapping(medicare)
7820;Disturbance of skin sensation;R208;general equivalence mapping(medicare)
7820;Disturbance of skin sensation;R209;general equivalence mapping(medicare)
42611;First degree atrioventricular block;I440;general equivalence mapping(medicare)
7945;Nonspecific abnormal results of function study of thyroid;R946;general equivalence mapping(medicare)
57421;Calculus of gallbladder without mention of cholecystitis, with obstruction;K8021;general equivalence mapping(medicare)
5762;Obstruction of bile duct;K831;general equivalence mapping(medicare)
29590;Unspecified schizophrenia, unspecified;F209;general equivalence mapping(medicare)
V420;Kidney replaced by transplant;Z940;general equivalence mapping(medicare)
V420;Car driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident;Z940;general equivalence mapping(medicare)
75162;Congenital cystic disease of liver;Q446;general equivalence mapping(medicare)
28419;Other pancytopenia;D61818;general equivalence mapping(medicare)
3970;Diseases of tricuspid valve;I071;general equivalence mapping(medicare)
3970;Diseases of tricuspid valve;I072;general equivalence mapping(medicare)
3970;Diseases of tricuspid valve;I078;general equivalence mapping(medicare)
5856;End stage renal disease;N186;general equivalence mapping(medicare)
40391;Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease;I120;general equivalence mapping(medicare)
42820;Systolic heart failure, unspecified;I5020;general equivalence mapping(medicare)
75312;Polycystic kidney, unspecified type;Q613;general equivalence mapping(medicare)
5738;Other specified disorders of liver;K761;general equivalence mapping(medicare)
5738;Other specified disorders of liver;K7689;general equivalence mapping(medicare)
3570;Acute infective polyneuritis;G610;general equivalence mapping(medicare)
632;Missed abortion;O021;general equivalence mapping(medicare)
65843;Infection of amniotic cavity, antepartum condition or complication;O411010;general equivalence mapping(medicare)
65843;Infection of amniotic cavity, antepartum condition or complication;O411020;general equivalence mapping(medicare)
65843;Infection of amniotic cavity, antepartum condition or complication;O411030;general equivalence mapping(medicare)
65843;Infection of amniotic cavity, antepartum condition or complication;O411210;general equivalence mapping(medicare)
65843;Infection of amniotic cavity, antepartum condition or complication;O411220;general equivalence mapping(medicare)
65843;Infection of amniotic cavity, antepartum condition or complication;O411230;general equivalence mapping(medicare)
65843;Infection of amniotic cavity, antepartum condition or complication;O411410;general equivalence mapping(medicare)
65843;Infection of amniotic cavity, antepartum condition or complication;O411420;general equivalence mapping(medicare)
65843;Infection of amniotic cavity, antepartum condition or complication;O411430;general equivalence mapping(medicare)
64883;Abnormal glucose tolerance of mother, antepartum condition or complication;O24419;general equivalence mapping(medicare)
64883;Abnormal glucose tolerance of mother, antepartum condition or complication;O99810;general equivalence mapping(medicare)
65423;Previous cesarean delivery, antepartum condition or complication;O3421;general equivalence mapping(medicare)
65823;Delayed delivery after spontaneous or unspecified rupture of membranes, antepartum condition or complication;O42111;general equivalence mapping(medicare)
65823;Delayed delivery after spontaneous or unspecified rupture of membranes, antepartum condition or complication;O42112;general equivalence mapping(medicare)
65823;Delayed delivery after spontaneous or unspecified rupture of membranes, antepartum condition or complication;O42113;general equivalence mapping(medicare)
66323;Other and unspecified cord entanglement, with compression, complicating labor and delivery, antepartum condition or complication;O692XX0;general equivalence mapping(medicare)
04110;Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified;B958;general equivalence mapping(medicare)
71690;Arthropathy, unspecified, site unspecified;M129;general equivalence mapping(medicare)
2440;Postsurgical hypothyroidism;E890;general equivalence mapping(medicare)
7384;Acquired spondylolisthesis;M4300;general equivalence mapping(medicare)
7384;Acquired spondylolisthesis;M4310;general equivalence mapping(medicare)
V4365;Knee joint replacement;Z96659;general equivalence mapping(medicare)
99666;Infection and inflammatory reaction due to internal joint prosthesis;T8450XA;general equivalence mapping(medicare)
71106;Pyogenic arthritis, lower leg;M00069;general equivalence mapping(medicare)
71106;Pyogenic arthritis, lower leg;M00169;general equivalence mapping(medicare)
71106;Pyogenic arthritis, lower leg;M00269;general equivalence mapping(medicare)
71106;Pyogenic arthritis, lower leg;M00869;general equivalence mapping(medicare)
V632;Person awaiting admission to adequate facility elsewhere;Z751;general equivalence mapping(medicare)
V632;Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident;Z751;general equivalence mapping(medicare)
9975;Urinary complications, not elsewhere classified;N9989;general equivalence mapping(medicare)
72402;Spinal stenosis, lumbar region, without neurogenic claudication;M4806;general equivalence mapping(medicare)
5531;Umbilical hernia without mention of obstruction or gangrene;K429;general equivalence mapping(medicare)
56789;Other specified peritonitis;K658;general equivalence mapping(medicare)
30503;Alcohol abuse, in remission;F1010;general equivalence mapping(medicare)
64511;Post term pregnancy, delivered, with or without mention of antepartum condition;O480;general equivalence mapping(medicare)
66331;Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, delivered, with or without mention of antepartum condition;O6981X0;general equivalence mapping(medicare)
66331;Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, delivered, with or without mention of antepartum condition;O6982X0;general equivalence mapping(medicare)
66331;Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, delivered, with or without mention of antepartum condition;O6989X0;general equivalence mapping(medicare)
66411;Second-degree perineal laceration, delivered, with or without mention of antepartum condition;O701;general equivalence mapping(medicare)
53560;Duodenitis, without mention of hemorrhage;K2980;general equivalence mapping(medicare)
2113;Benign neoplasm of colon;D120;general equivalence mapping(medicare)
2113;Benign neoplasm of colon;D121;general equivalence mapping(medicare)
2113;Benign neoplasm of colon;D126;general equivalence mapping(medicare)
2113;Benign neoplasm of colon;K635;general equivalence mapping(medicare)
2114;Benign neoplasm of rectum and anal canal;D127;general equivalence mapping(medicare)
2114;Benign neoplasm of rectum and anal canal;D128;general equivalence mapping(medicare)
2114;Benign neoplasm of rectum and anal canal;D129;general equivalence mapping(medicare)
78907;Abdominal pain, generalized;R1084;general equivalence mapping(medicare)
53010;Esophagitis, unspecified;K209;general equivalence mapping(medicare)
5722;Hepatic encephalopathy;K7290;general equivalence mapping(medicare)
5722;Hepatic encephalopathy;K7291;general equivalence mapping(medicare)
45620;Esophageal varices in diseases classified elsewhere, with bleeding;I8511;general equivalence mapping(medicare)
30301;Acute alcoholic intoxication in alcoholism, continuous;F10229;general equivalence mapping(medicare)
45989;Other specified disorders of circulatory system;I998;general equivalence mapping(medicare)
29189;Other alcohol-induced mental disorders;F10159;general equivalence mapping(medicare)
29189;Other alcohol-induced mental disorders;F10180;general equivalence mapping(medicare)
29189;Other alcohol-induced mental disorders;F10181;general equivalence mapping(medicare)
29189;Other alcohol-induced mental disorders;F10188;general equivalence mapping(medicare)
29189;Other alcohol-induced mental disorders;F10259;general equivalence mapping(medicare)
29189;Other alcohol-induced mental disorders;F10280;general equivalence mapping(medicare)
29189;Other alcohol-induced mental disorders;F10281;general equivalence mapping(medicare)
29189;Other alcohol-induced mental disorders;F10288;general equivalence mapping(medicare)
29189;Other alcohol-induced mental disorders;F10959;general equivalence mapping(medicare)
29189;Other alcohol-induced mental disorders;F10980;general equivalence mapping(medicare)
9651;Poisoning by salicylates;T39011A;general equivalence mapping(medicare)
9651;Poisoning by salicylates;T39012A;general equivalence mapping(medicare)
9651;Poisoning by salicylates;T39013A;general equivalence mapping(medicare)
9651;Poisoning by salicylates;T39014A;general equivalence mapping(medicare)
9651;Poisoning by salicylates;T39091A;general equivalence mapping(medicare)
9651;Poisoning by salicylates;T39092A;general equivalence mapping(medicare)
9651;Poisoning by salicylates;T39093A;general equivalence mapping(medicare)
9651;Poisoning by salicylates;T39094A;general equivalence mapping(medicare)
9651;Poisoning by salicylates;T39314A;general equivalence mapping(medicare)
E9500;Suicide and self-inflicted poisoning by analgesics, antipyretics, and antirheumatics;NoDx;general equivalence mapping(medicare)
E9500;Suicide and self-inflicted poisoning by analgesics, antipyretics, and antirheumatics;T51.91XA;manual matching
64103;Placenta previa without hemorrhage, antepartum condition or complication;O4401;general equivalence mapping(medicare)
64103;Placenta previa without hemorrhage, antepartum condition or complication;O4402;general equivalence mapping(medicare)
64103;Placenta previa without hemorrhage, antepartum condition or complication;O4403;general equivalence mapping(medicare)
64191;Unspecified antepartum hemorrhage, delivered, with or without mention of antepartum condition;O4691;general equivalence mapping(medicare)
64191;Unspecified antepartum hemorrhage, delivered, with or without mention of antepartum condition;O4692;general equivalence mapping(medicare)
64191;Unspecified antepartum hemorrhage, delivered, with or without mention of antepartum condition;O4693;general equivalence mapping(medicare)
64191;Unspecified antepartum hemorrhage, delivered, with or without mention of antepartum condition;O679;general equivalence mapping(medicare)
66481;Other specified trauma to perineum and vulva, delivered, with or without mention of antepartum condition;O7182;general equivalence mapping(medicare)
431;Intracerebral hemorrhage;I619;general equivalence mapping(medicare)
04104;Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus];B952;general equivalence mapping(medicare)
V4589;Other postprocedural status;Z9889;general equivalence mapping(medicare)
53789;Other specified disorders of stomach and duodenum;K3189;general equivalence mapping(medicare)
43311;Occlusion and stenosis of carotid artery with cerebral infarction;I63139;general equivalence mapping(medicare)
43311;Occlusion and stenosis of carotid artery with cerebral infarction;I63239;general equivalence mapping(medicare)
25050;Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled;E11311;general equivalence mapping(medicare)
25050;Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled;E11319;general equivalence mapping(medicare)
25050;Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled;E1136;general equivalence mapping(medicare)
25050;Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled;E1139;general equivalence mapping(medicare)
36201;Background diabetic retinopathy;E11319;general equivalence mapping(medicare)
37941;Anisocoria;H5702;general equivalence mapping(medicare)
2397;Neoplasm of unspecified nature of endocrine glands and other parts of nervous system;D497;general equivalence mapping(medicare)
185;Malignant neoplasm of prostate;C61;general equivalence mapping(medicare)
60001;Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS);N401;general equivalence mapping(medicare)
5960;Bladder neck obstruction;N320;general equivalence mapping(medicare)
78821;Incomplete bladder emptying;R3914;general equivalence mapping(medicare)
57451;Calculus of bile duct without mention of cholecystitis, with obstruction;K8051;general equivalence mapping(medicare)
78009;Other alteration of consciousness;R400;general equivalence mapping(medicare)
78009;Other alteration of consciousness;R401;general equivalence mapping(medicare)
2967;Bipolar I disorder, most recent episode (or current) unspecified;F319;general equivalence mapping(medicare)
29570;Schizoaffective disorder, unspecified;F259;general equivalence mapping(medicare)
29640;Bipolar I disorder, most recent episode (or current) manic, unspecified;F3110;general equivalence mapping(medicare)
2971;Delusional disorder;F22;general equivalence mapping(medicare)
29644;Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior;F312;general equivalence mapping(medicare)
30501;Alcohol abuse, continuous;F1010;general equivalence mapping(medicare)
9599;Unspecified site injury;T1490;general equivalence mapping(medicare)
E8496;Accidents occurring in public building;Y9229;general equivalence mapping(medicare)
4555;External hemorrhoids with other complication;K644;general equivalence mapping(medicare)
04149;Other and unspecified Escherichia coli [E. coli];B9620;general equivalence mapping(medicare)
04149;Other and unspecified Escherichia coli [E. coli];B9629;general equivalence mapping(medicare)
V1255;Personal history of pulmonary embolism;Z86711;general equivalence mapping(medicare)
5851;Chronic kidney disease, Stage I;N181;general equivalence mapping(medicare)
30021;Agoraphobia with panic disorder;F4001;general equivalence mapping(medicare)
V1271;Personal history of peptic ulcer disease;Z8711;general equivalence mapping(medicare)
5539;Hernia of unspecified site without mention of obstruction or gangrene;K469;general equivalence mapping(medicare)
71916;Hemarthrosis, lower leg;M25069;general equivalence mapping(medicare)
E9305;Cephalosporin group causing adverse effects in therapeutic use;NoDx;general equivalence mapping(medicare)
E9305;Cephalosporin group causing adverse effects in therapeutic use;T51.95XA;manual matching
71946;Pain in joint, lower leg;M25569;general equivalence mapping(medicare)
72981;Swelling of limb;M7989;general equivalence mapping(medicare)
5307;Gastroesophageal laceration-hemorrhage syndrome;K226;general equivalence mapping(medicare)
78559;Other shock without mention of trauma;R571;general equivalence mapping(medicare)
78559;Other shock without mention of trauma;R578;general equivalence mapping(medicare)
2713;Intestinal disaccharidase deficiencies and disaccharide malabsorption;E7439;general equivalence mapping(medicare)
25082;Diabetes with other specified manifestations, type II or unspecified type, uncontrolled;E1165;general equivalence mapping(medicare)
25082;Diabetes with other specified manifestations, type II or unspecified type, uncontrolled;E1169;general equivalence mapping(medicare)
73027;Unspecified osteomyelitis, ankle and foot;M869;general equivalence mapping(medicare)
7318;Other bone involvement in diseases classified elsewhere;M9080;general equivalence mapping(medicare)
68110;Cellulitis and abscess of toe, unspecified;L03039;general equivalence mapping(medicare)
68110;Cellulitis and abscess of toe, unspecified;L03049;general equivalence mapping(medicare)
5772;Cyst and pseudocyst of pancreas;K862;general equivalence mapping(medicare)
5772;Cyst and pseudocyst of pancreas;K863;general equivalence mapping(medicare)
1179;Other and unspecified mycoses;B488;general equivalence mapping(medicare)
1179;Other and unspecified mycoses;B49;general equivalence mapping(medicare)
45385;Acute venous embolism and thrombosis of subclavian veins;I82B19;general equivalence mapping(medicare)
24900;Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified;E089;general equivalence mapping(medicare)
24900;Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified;E099;general equivalence mapping(medicare)
24900;Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified;E139;general equivalence mapping(medicare)
33819;Other acute pain;R52;general equivalence mapping(medicare)
5770;Acute pancreatitis;K859;general equivalence mapping(medicare)
5778;Other specified diseases of pancreas;K861;general equivalence mapping(medicare)
5778;Other specified diseases of pancreas;K868;general equivalence mapping(medicare)
11289;Other candidiasis of other specified sites;B3789;general equivalence mapping(medicare)
5771;Chronic pancreatitis;K861;general equivalence mapping(medicare)
E9319;Other and unspecified anti-infectives causing adverse effects in therapeutic use;NoDx;general equivalence mapping(medicare)
E9319;Other and unspecified anti-infectives causing adverse effects in therapeutic use;T51.99XA;manual matching
6073;Priapism;N4830;general equivalence mapping(medicare)
1725;Malignant melanoma of skin of trunk, except scrotum;C4359;general equivalence mapping(medicare)
1725;Malignant melanoma of skin of trunk, except scrotum;D0351;general equivalence mapping(medicare)
1725;Malignant melanoma of skin of trunk, except scrotum;D0352;general equivalence mapping(medicare)
1725;Malignant melanoma of skin of trunk, except scrotum;D0359;general equivalence mapping(medicare)
V1642;Family history of malignant neoplasm of prostate;Z8042;general equivalence mapping(medicare)
6961;Other psoriasis;L400;general equivalence mapping(medicare)
6961;Other psoriasis;L401;general equivalence mapping(medicare)
6961;Other psoriasis;L402;general equivalence mapping(medicare)
6961;Other psoriasis;L403;general equivalence mapping(medicare)
6961;Other psoriasis;L404;general equivalence mapping(medicare)
6961;Other psoriasis;L408;general equivalence mapping(medicare)
9711;Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics;T443X1A;general equivalence mapping(medicare)
9711;Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics;T443X2A;general equivalence mapping(medicare)
9711;Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics;T443X3A;general equivalence mapping(medicare)
9711;Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics;T443X4A;general equivalence mapping(medicare)
4588;Other specified hypotension;I9589;general equivalence mapping(medicare)
29181;Alcohol withdrawal;F10239;general equivalence mapping(medicare)
E9504;Suicide and self-inflicted poisoning by other specified drugs and medicinal substances;NoDx;general equivalence mapping(medicare)
E9504;Suicide and self-inflicted poisoning by other specified drugs and medicinal substances;T51.95XA;manual matching
79431;Nonspecific abnormal electrocardiogram [ECG] [EKG];R9431;general equivalence mapping(medicare)
7099;Unspecified disorder of skin and subcutaneous tissue;L989;general equivalence mapping(medicare)
9809;Toxic effect of unspecified alcohol;T5191XA;general equivalence mapping(medicare)
9809;Toxic effect of unspecified alcohol;T5192XA;general equivalence mapping(medicare)
9809;Toxic effect of unspecified alcohol;T5193XA;general equivalence mapping(medicare)
9809;Toxic effect of unspecified alcohol;T5194XA;general equivalence mapping(medicare)
E9509;Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances;NoDx;general equivalence mapping(medicare)
E9509;Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances;T51.90XA;manual matching
78039;Other convulsions;R569;general equivalence mapping(medicare)
27541;Hypocalcemia;E8351;general equivalence mapping(medicare)
V1209;Personal history of other infectious and parasitic diseases;Z8619;general equivalence mapping(medicare)
8442;Sprain of cruciate ligament of knee;S83509A;general equivalence mapping(medicare)
8361;Tear of lateral cartilage or meniscus of knee, current;S83289A;general equivalence mapping(medicare)
8360;Tear of medial cartilage or meniscus of knee, current;S83219A;general equivalence mapping(medicare)
8360;Tear of medial cartilage or meniscus of knee, current;S83249A;general equivalence mapping(medicare)
E030;Unspecified activity;Y939;general equivalence mapping(medicare)
E030;Congenital hypothyroidism with diffuse goiter;Y939;general equivalence mapping(medicare)
07030;Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta;B169;general equivalence mapping(medicare)
